1 -130.845 -138.286 -135.431 -1.199 -2.868 5.667
2 -131.413 -137.895 -134.606 -1.037 -2.875 5.229
3 -132.303 -137.574 -134.13 -1.02 -2.876 4.61
4 -133.625 -137.296 -134.054 -1.072 -2.939 3.882
5 -135.232 -137.336 -134.557 -1.28 -2.844 3.059
6 -136.855 -137.119 -134.974 -1.494 -2.545 2.064
7 -138.724 -136.945 -135.537 -1.779 -2.181 1.016
8 -140.487 -136.757 -135.761 -2.114 -1.647 0.028
9 -142 -136.181 -135.568 -2.522 -1.083 -0.943
10 -143.263 -135.644 -134.979 -2.888 -0.405 -1.756
11 -144.297 -135.127 -134.178 -3.334 0.27 -2.477
12 -144.87 -134.574 -133.282 -3.708 0.863 -2.972
13 -145.485 -134.269 -132.507 -3.986 1.462 -3.305
14 -146.077 -134.222 -131.972 -4.259 1.938 -3.301
15 -146.464 -134.457 -131.641 -4.501 2.208 -3.196
16 -146.753 -134.765 -131.415 -4.61 2.301 -3.039
17 -146.827 -135.295 -131.487 -4.629 2.326 -2.706
18 -146.503 -136.019 -131.957 -4.547 2.185 -2.138
19 -145.735 -136.622 -132.676 -4.504 2 -1.436
20 -144.475 -136.982 -133.551 -4.434 1.775 -0.542
21 -143.172 -137.349 -134.61 -4.147 1.515 0.373
22 -141.686 -137.595 -135.526 -3.913 1.204 1.306
23 -140.677 -137.95 -136.203 -3.538 0.83 2.289
24 -140.025 -138.21 -136.566 -3.307 0.536 3.284
25 -139.93 -138.75 -136.59 -3.12 0.215 4.223
26 -140.166 -139.483 -136.425 -3.008 0.015 5.144
27 -140.936 -140.349 -136.393 -2.985 -0.1 5.935
28 -141.471 -140.943 -136.074 -3.103 0.002 6.536
29 -142.017 -141.422 -135.86 -3.117 0.087 6.87
30 -142.288 -141.716 -135.654 -3.127 0.322 7.028
31 -142.153 -141.667 -135.622 -2.933 0.476 7.095
32 -141.533 -141.241 -135.739 -2.445 0.561 6.945
33 -140.428 -140.588 -135.844 -1.715 0.524 6.711
34 -138.875 -139.98 -135.952 -1.077 0.371 6.312
35 -137.309 -139.68 -136.465 -0.427 0.091 5.757
36 -135.723 -139.51 -137.042 0.094 -0.194 5.114
37 -134.548 -139.618 -137.715 0.487 -0.449 4.305
38 -133.864 -140.413 -138.792 0.76 -0.671 3.264
39 -133.528 -141.128 -139.5 0.797 -0.852 1.996
40 -133.537 -141.918 -140.218 0.752 -0.805 0.657
41 -133.883 -142.547 -140.884 0.661 -0.667 -0.768
42 -134.448 -142.653 -141.336 0.488 -0.499 -2.097
43 -135.479 -142.443 -141.837 0.324 -0.309 -3.267
44 -136.782 -141.975 -142.151 0.295 -0.18 -4.242
45 -138.16 -141.159 -142.486 0.513 -0.096 -5.104
46 -139.737 -140.609 -142.617 1.012 -0.194 -5.857
47 -141.121 -140.061 -142.617 1.73 -0.27 -6.515
48 -142.342 -139.865 -142.474 2.783 -0.467 -7.25
49 -143.11 -139.693 -141.857 3.841 -0.674 -7.967
50 -143.42 -139.597 -140.851 4.697 -0.715 -8.719
51 -143.209 -139.427 -140.088 5.388 -0.624 -9.47
52 -142.399 -139.098 -139.135 5.588 -0.517 -9.922
53 -141.1 -138.8 -138.341 5.485 -0.422 -10.35
54 -139.39 -138.597 -137.745 4.766 -0.272 -10.531
55 -137.508 -138.911 -137.602 3.658 -0.176 -10.527
56 -135.583 -139.737 -137.518 2.364 -0.101 -10.354
57 -133.984 -141.111 -137.722 0.983 0.043 -9.889
58 -132.642 -142.767 -137.944 -0.311 0.112 -9.258
59 -131.803 -144.457 -138.111 -1.334 0.11 -8.388
60 -131.093 -145.749 -137.851 -1.956 0.055 -7.249
61 -130.611 -146.688 -137.323 -2.187 -0.068 -6.01
62 -130.443 -147.124 -136.539 -2.213 0.01 -4.572
63 -130.423 -147.273 -135.788 -2.117 0.025 -3.127
64 -130.368 -146.985 -135.308 -2.145 0.213 -1.686
65 -130.449 -146.317 -135.181 -2.402 0.58 -0.356
66 -130.643 -145.376 -135.47 -2.889 0.864 0.776
67 -130.851 -144.099 -136.049 -3.622 1.29 1.757
68 -131.113 -142.714 -136.716 -4.387 1.562 2.388
69 -131.403 -141.121 -137.204 -5.034 1.797 2.77
70 -131.569 -139.811 -137.673 -5.48 1.798 2.888
71 -131.376 -138.295 -137.546 -5.515 1.74 2.754
72 -131.144 -137.196 -137.32 -5.371 1.336 2.4
73 -130.491 -136.179 -136.896 -4.935 0.904 1.878
74 -129.863 -135.209 -136.158 -4.475 0.423 1.205
75 -129.399 -134.629 -135.758 -4.237 -0.146 0.367
76 -128.972 -134.163 -135.223 -4.265 -0.65 -0.532
77 -128.59 -133.74 -134.8 -4.488 -1.127 -1.51
78 -128.439 -133.639 -134.701 -5.013 -1.407 -2.483
79 -128.299 -133.837 -134.624 -5.665 -1.337 -3.187
80 -128.493 -134.416 -134.609 -6.423 -1.024 -3.864
81 -128.859 -135.413 -134.641 -7.234 -0.569 -4.136
82 -129.592 -136.683 -134.755 -7.966 0.017 -4.198
83 -130.435 -137.766 -134.557 -8.343 0.619 -4.083
84 -131.398 -138.701 -134.475 -8.539 1.153 -3.753
85 -132.507 -139.386 -134.071 -8.151 1.471 -3.282
86 -133.459 -139.773 -133.631 -7.197 1.68 -2.659
87 -134.452 -139.665 -133.38 -5.933 1.651 -2.07
88 -135.153 -138.989 -132.809 -4.319 1.425 -1.452
89 -135.783 -138.057 -132.262 -2.663 1.118 -0.814
90 -136.146 -137.067 -131.73 -0.993 0.686 -0.136
91 -136.459 -136.173 -131.546 0.446 0.346 0.498
92 -136.61 -135.401 -131.533 1.591 0.124 0.998
93 -136.674 -134.962 -131.865 2.252 -0.127 1.39
94 -136.841 -134.866 -132.371 2.448 -0.31 1.608
95 -136.877 -134.86 -133.022 2.256 -0.581 1.607
96 -137.086 -135.251 -134.118 1.864 -0.761 1.378
97 -137.31 -135.761 -135.58 1.177 -0.975 0.918
98 -137.694 -136.41 -137.022 0.473 -0.999 0.499
99 -138.214 -137.227 -138.546 -0.123 -1.136 0.042
100 -138.956 -138.047 -139.922 -0.544 -1 -0.275
101 -139.916 -138.985 -141.155 -0.768 -0.974 -0.424
102 -141.112 -140.014 -142.141 -0.632 -0.776 -0.474
103 -142.377 -140.69 -142.575 -0.245 -0.687 -0.324
104 -143.743 -141.292 -142.678 0.312 -0.679 -0.003
105 -145.035 -141.58 -142.54 0.887 -0.663 0.475
106 -146.122 -141.242 -142.041 1.466 -0.812 1.01
107 -147.055 -140.569 -141.358 1.879 -0.972 1.564
108 -147.43 -139.559 -140.741 2.204 -1.154 1.985
109 -147.544 -138.208 -140.064 2.323 -1.242 2.276
110 -147.307 -136.992 -139.477 2.456 -1.287 2.453
111 -146.751 -135.543 -138.861 2.558 -1.286 2.332
112 -146.41 -134.628 -138.573 2.838 -1.205 2.148
113 -145.914 -134.061 -138.167 3.263 -1.158 1.754
114 -145.61 -133.742 -138.042 3.822 -0.955 1.168
115 -145.804 -134.028 -138.284 4.434 -0.546 0.469
116 -146.398 -134.601 -139.04 4.902 -0.034 -0.195
117 -147.112 -135.231 -139.968 5.122 0.569 -0.966
118 -147.878 -135.8 -141.274 5.224 1.086 -1.743
119 -149.021 -136.38 -142.84 4.964 1.595 -2.624
120 -150.034 -136.585 -144.269 4.252 1.97 -3.54
121 -150.741 -136.186 -145.222 3.066 1.967 -4.379
122 -151.078 -135.656 -145.711 1.698 1.797 -5.019
123 -150.945 -134.663 -145.546 0.321 1.591 -5.398
124 -150.345 -133.487 -145.149 -0.822 1.264 -5.38
125 -149.31 -132.313 -144.453 -1.728 1.143 -4.997
126 -147.982 -131.203 -144.08 -2.28 1.054 -4.297
127 -146.526 -130.544 -144.021 -2.357 0.968 -3.335
128 -145.06 -130.415 -144.553 -2.21 0.899 -2.338
129 -143.676 -130.75 -145.45 -1.75 0.675 -1.425
130 -142.538 -131.732 -146.625 -1.151 0.395 -0.594
131 -141.575 -133.258 -147.627 -0.409 0.101 0.078
132 -140.845 -135.148 -148.354 0.236 -0.225 0.762
133 -140.22 -137.292 -148.592 0.658 -0.802 1.43
134 -139.736 -139.577 -148.041 0.782 -1.172 2.068
135 -139.195 -141.504 -147.119 0.635 -1.55 2.671
136 -138.579 -143.084 -145.692 0.229 -1.93 3.098
137 -137.924 -144.216 -144.19 -0.499 -2.167 3.365
138 -137.004 -144.856 -142.739 -1.409 -2.094 3.43
139 -136.08 -145.278 -141.844 -2.399 -1.804 3.308
140 -134.968 -144.782 -141.064 -3.193 -1.315 2.883
141 -133.964 -144.137 -140.826 -3.715 -0.762 2.429
142 -132.918 -142.858 -141.003 -3.945 -0.104 1.997
143 -131.686 -141.266 -141.445 -3.762 0.547 1.534
144 -130.817 -139.545 -142.116 -3.114 1.054 1.084
